accumulated_accuracy,anRepeatedItem,browser,browser_version,codeversion,condition,correct,correct_appear1,correct_appear2,correct_response,correct_response_key,current_assignmentTypesWithinList,designversion,fullscreen,height,id,id_picName,internal_node_id,is_changedfullscreen,is_chosenFinal,is_currentObjAppear1,is_finished,is_old,is_studied_appear0_initial,is_studied_appear1_initial,is_studied_appear2_initial,is_tested_appear0_initial,is_tested_appear1_initial,is_tested_appear2_initial,listNum_appear0_initial,listNum_appear1_initial,listNum_appear2_initial,listNum_infinalOrder,listNum_pickedFrom,microphone,mobile,num_CurrObjAppear,os,presPos_digit,question_order,recognition_correct,response,responsesum,rt,session_id,stimulus,stimulusConditionName_nPlusOneTrial,stimulusConditions,stimulus_id,studyPos_appear0_initial,studyPos_appear1_initial,studyPos_appear2_initial,study_id,subject_id,success,sum_currList,task,testPos_appear0_initial,testPos_appear1_initial,testPos_appear2_initial,testPos_final,time_elapsed,timepassed_mins,trial_document_id,trial_index,trial_type,type_code_studiedCurr,type_code_testiedCurr,type_code_testiedNext,type_comment,vsync_rate,webaudio,webcam,width
,False,,,2,r,,,,,,T_nontarget,3,,1306,firestorenewtest,1 (2011).jpg,0.0-5.0-2.0-0.23,1,False,True,0,,True,True,False,False,False,False,1,1,0,,0,,,1,,,,,,,,,images/1 (2011).jpg,A,A,,24,24,0,,firestorenewtest,,,initial_study,0,0,0,0,314989,5.27,lXh6K5uwpBx9Rux41Y51,31,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2228
,False,,,2,r,,,,,,T_target,3,,1306,firestorenewtest,1 (618).jpg,0.0-5.0-2.0-0.29,1,True,True,0,,True,True,False,True,True,False,1,1,0,2,0,,,1,,,,,,,,,images/1 (618).jpg,B,B,,30,30,0,,firestorenewtest,,,initial_study,18,18,0,87,1034989,17.27,lYIx1jjJIx8u2H9Yk163,37,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2228
,,,,2,r,,,,,,,3,,1306,firestorenewtest,,0.0-5.0-5.0-0.4,1,,,0,,,,,,,,1,,,,,,,,,5,,,,,,,4,,,4,,,,,firestorenewtest,,52,digitPresentation,,,,,1560990,26.04,m6NT9aMljOxKO6LJs2Hr,44,html-keyboard-response,,,,,,,,2228
,,,,2,r,,,,,,,3,,1307,firestorenewtest,,0.0-1.0,0,,,0,,,,,,,,,,,,,,,,,,,,{'Q0': 'firestorenewtest'},,3390,,,,,,,,,,firestorenewtest,,,enterid,,,,,3825,0.09,me3kJzKvFySqMtLq7g1Q,1,survey-text,,,,,,,,2228
,False,,,2,r,,,,,,T_nontarget,3,,1306,firestorenewtest,1 (739).jpg,0.0-5.0-2.0-0.28,1,True,True,0,,True,True,False,False,False,False,1,1,0,1,0,,,1,,,,,,,,,images/1 (739).jpg,A,A,,29,29,0,,firestorenewtest,,,initial_study,0,0,0,20,914989,15.27,nfaxuJQzKlymL7fLFsZt,36,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2228
,False,,,2,r,,,,,,T_nontarget,3,,1306,firestorenewtest,1 (1032).jpg,0.0-5.0-2.0-0.18,1,True,True,0,,True,True,False,False,False,False,1,1,0,3,0,,,1,,,,,,,,,images/1 (1032).jpg,A,A,,19,19,0,,firestorenewtest,,,initial_study,0,0,0,129,72990,1.24,tiLf3qC9z2UApqVZeEkB,26,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2228
,False,,,2,r,,,,,,T_target,3,,1306,firestorenewtest,1 (632).jpg,0.0-5.0-2.0-0.1,1,False,True,0,,True,True,False,True,True,False,1,1,0,,0,,,1,,,,,,,,,images/1 (632).jpg,B,B,,2,2,0,,firestorenewtest,,,initial_study,3,3,0,0,20939,0.37,vfrN3LwdjX0dS5pXWlRx,9,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2228
,False,,,2,r,,,,,,T_nontarget,3,,1307,thisis_cool,1 (744).jpg,0.0-14.0-2.0-0.5,1,False,True,0,,True,True,False,False,False,False,10,10,0,,0,,,1,,,,,,,,,images/1 (744).jpg,A,A,,6,6,0,,thisis_cool,,,initial_study,0,0,0,0,19970,0.34,01UT9p5uhlxcxKw6MarZ,696,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2228
0,,,,2,r,False,,False,,j,T_nontarget,3,,1307,thisis_cool,1 (97).jpg,0.0-18.0-1.0-0.10,1,True,,0,True,,True,False,,False,True,,1,2,3,0,,,,,,,0,,,,,images/1 (97).jpg,,Cn,,,16,0,,thisis_cool,,,finalTest,,0,17,119,22453,0.38,036usGp9pN79jfkR6395,884,image-keyboard-response,,,,"studied only, in next trial",,,,2228
0,,,,2,r,False,,,,f,F,3,,1307,thisis_cool,1 (739).jpg,0.0-21.0-1.0-0.2,1,True,,0,False,,False,False,,False,False,,0,0,6,0,,,1,,,,0,,,,,images/1 (739).jpg,,FF,,,0,0,,thisis_cool,,,finalTest,,0,0,255,24065,0.41,04zT8NzqSi09R408rCjC,1020,image-keyboard-response,,,,final Foil,,,,2228
,,,,2,r,,,,,,,3,,1307,thisis_cool,,0.0-12.0-7.0-0.0,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,<p background:white>INCORRECT!</p>,,,,,,,,thisis_cool,,,promptfeedback,,,,,18001,0.31,06OibdEhDuyWbRADtyg9,580,html-keyboard-response,,,,,,,,2228
0,,,,2,r,False,,,,j,T_nontarget,3,,1307,thisis_cool,1 (1777).jpg,0.0-19.0-1.0-0.24,1,True,,0,True,,True,False,,False,False,,9,0,4,0,,,,,,,0,,,,,images/1 (1777).jpg,,A,,,6,0,,thisis_cool,,,finalTest,,0,0,181,23184,0.40,07Jj7oiBBYsFkz1vi812,946,image-keyboard-response,,,,"studied only, not in trial",,,,2228
,,,,2,r,,,,,,,3,,1728,thisis_cool,,0.0-4.0,0,,,0,,,,,,,,,,,,,,,,,,,,,,989,,,,,,,,,,thisis_cool,True,,,,,,,8063,0.14,095ZYu8lx07js3wDaxXa,4,fullscreen,,,,,,,,3072
